name,compiler,type,threads,input,instructions:u,mpx_new_bounds_table,,time,mpxbtnum,mpxerrors,instructions,instructions:k
facesim,icc,native,1,None,25902215362,0,3.473316234,,,27516705912,1614490550,
bodytrack,icc,native,1,None,692867034777,0,74.979334494,,,694170414547,1303379770,
vips,icc,native,1,None,661508180808,0,56.732826414,,,663735851959,2227671151,
fluidanimate,icc,native,1,None,1555843116530,0,202.571177068,,,1556133808817,290692287,
dedup,icc,native,1,None,112995037742,0,20.043935159,,,123545346850,10550309108,
ferret,icc,native,1,None,1592772693257,0,273.796045269,,,1593207912592,435219335,
swaptions,icc,native,1,None,1116523628129,0,116.945002288,,,1116654956705,131328576,
streamcluster,icc,native,1,None,403669496568,0,202.055872646,,,403901195405,231698837,
canneal,icc,native,1,None,130069671544,0,152.157955717,,,130658256006,588584462,
blackscholes,icc,native,1,None,402378756393,0,83.289246612,,,403274295209,895538816,
raytrace,icc,native,1,None,522695208775,0,121.008251703,,,523106273946,411065171,
x264,icc,native,1,None,1478894922642,0,173.950841095,,,1479369480464,474557822,
facesim,gcc,mpx,1,None,98778422049,129,14.040228884,,,100515836861,1737414812,
bodytrack,gcc,mpx,1,None,1558908156045,305,182.340610609,,,1560768419465,1860263420,
vips,gcc,mpx,1,None,1101319159862,9,118.505114556,,,1106557716799,5238556937,
fluidanimate,gcc,mpx,1,None,3991416004071,507,495.898327438,,,3992723565455,1307561384,
dedup,gcc,mpx,1,None,332316212719,1353,48.394869263,,,344016773889,11700561170,
ferret,gcc,mpx,1,None,4308482415436,29,672.979991939,,,4309370628923,888213487,
swaptions,gcc,mpx,1,None,2105889254962,4,339.170100476,,,2106263109740,373854778,
streamcluster,gcc,mpx,1,None,5791276216977,15,991.664728147,,,5792375606273,1099389296,
canneal,gcc,mpx,1,None,222380771693,851,180.731171379,,,224095765711,1714994018,
blackscholes,gcc,mpx,1,None,548892478286,2,143.580142229,,,549854679045,962200759,
raytrace,gcc,mpx,1,None,5360745923427,330,937.186666393,,,5362146372458,1400449031,
x264,gcc,mpx,1,None,,,,,,,,
facesim,gcc,mpx_only_write,1,None,44294872696,129,7.033212551,,,46026071722,1731199026,
bodytrack,gcc,mpx_only_write,1,None,852538002716,141,102.641813945,,,854189861409,1651858693,
vips,gcc,mpx_only_write,1,None,774215684648,7,68.170981977,,,776343570511,2127885863,
fluidanimate,gcc,mpx_only_write,1,None,1890825285595,506,245.268712234,,,1891839528168,1014242573,
dedup,gcc,mpx_only_write,1,None,168976495251,1353,28.554764045,,,180653279306,11676784055,
ferret,gcc,mpx_only_write,1,None,2338990067201,29,390.605811752,,,2339570801106,580733905,
swaptions,gcc,mpx_only_write,1,None,1543648637662,4,271.83493923,,,1543949482505,300844843,
streamcluster,gcc,mpx_only_write,1,None,1576636622420,15,400.780195485,,,1577088790619,452168199,
canneal,gcc,mpx_only_write,1,None,144749034485,850,163.440242186,,,146444747550,1695713065,
blackscholes,gcc,mpx_only_write,1,None,524602478543,2,144.051417382,,,525564667807,962189264,
raytrace,gcc,mpx_only_write,1,None,1109946131931,331,214.493032118,,,1110567720424,621588493,
x264,gcc,mpx_only_write,1,None,,,,,,,,
facesim,gcc,mpx_no_narrow_bounds,1,None,95084899844,129,13.591841264,,,96823172293,1738272449,
bodytrack,gcc,mpx_no_narrow_bounds,1,None,1536218471278,275,178.009886358,,,1538050364113,1831892835,
vips,gcc,mpx_no_narrow_bounds,1,None,1100642017832,8,117.606205526,,,1102865946463,2223928631,
fluidanimate,gcc,mpx_no_narrow_bounds,1,None,2490115592140,507,336.208265399,,,2491232121921,1116529781,
dedup,gcc,mpx_no_narrow_bounds,1,None,316812560058,1353,47.111816306,,,328404353757,11591793699,
ferret,gcc,mpx_no_narrow_bounds,1,None,3858102180012,28,631.297642872,,,3858945725618,843545606,
swaptions,gcc,mpx_no_narrow_bounds,1,None,2105889245654,4,339.232732046,,,2106263289342,374043688,
streamcluster,gcc,mpx_no_narrow_bounds,1,None,5791276221448,15,1009.068989971,,,5792389815389,1113593941,
canneal,gcc,mpx_no_narrow_bounds,1,None,221293659016,851,179.769387378,,,223006450380,1712791364,
blackscholes,gcc,mpx_no_narrow_bounds,1,None,548892478260,2,143.339550555,,,549852008104,959529844,
raytrace,gcc,mpx_no_narrow_bounds,1,None,2338915699014,331,393.100072061,,,2339728763406,813064392,
x264,gcc,mpx_no_narrow_bounds,1,None,9909913429193,40,949.818378,,,9911268635550,1355206357,
facesim,gcc,mpx_no_narrow_bounds_only_write,1,None,41467547063,131,6.650322199,,,43198218589,1730671526,
bodytrack,gcc,mpx_no_narrow_bounds_only_write,1,None,839443204036,39,99.628331202,,,841021421387,1578217351,
vips,gcc,mpx_no_narrow_bounds_only_write,1,None,773987131386,7,67.88971385,,,776231342279,2244210893,
fluidanimate,gcc,mpx_no_narrow_bounds_only_write,1,None,1676822128210,506,221.577728977,,,1677804046109,981917899,
dedup,gcc,mpx_no_narrow_bounds_only_write,1,None,158795923986,1353,26.869962458,,,170471888546,11675964560,
ferret,gcc,mpx_no_narrow_bounds_only_write,1,None,2326140418977,28,383.414963351,,,2326707217191,566798214,
swaptions,gcc,mpx_no_narrow_bounds_only_write,1,None,1543648637143,4,271.186989494,,,1543947560583,298923440,
streamcluster,gcc,mpx_no_narrow_bounds_only_write,1,None,1576636620550,15,395.905412071,,,1577083374937,446754387,
canneal,gcc,mpx_no_narrow_bounds_only_write,1,None,143477214148,850,162.433178471,,,145174136275,1696922127,
blackscholes,gcc,mpx_no_narrow_bounds_only_write,1,None,524602478016,2,143.772681872,,,525563431156,960953140,
raytrace,gcc,mpx_no_narrow_bounds_only_write,1,None,1096221913192,330,212.077286801,,,1096839468336,617555144,
x264,gcc,mpx_no_narrow_bounds_only_write,1,None,1860991954873,40,181.239975034,,,1861553459901,561505028,
facesim,icc,mpx,1,None,32459669530,128,4.314888332,,,34185447806,1725778276,
bodytrack,icc,mpx,1,None,857478587228,6,95.389407929,,,858808740942,1330153714,
vips,icc,mpx,1,None,,,,,,,,
fluidanimate,icc,mpx,1,None,2527913520882,506,298.651803576,,,2528971377243,1057856361,
dedup,icc,mpx,1,None,164533095880,1352,28.442098872,,,175617285902,11084190022,
ferret,icc,mpx,1,None,,,,,,,,
swaptions,icc,mpx,1,None,1639932263934,5,192.76913339,,,1640146334402,214070468,
streamcluster,icc,mpx,1,None,548272671285,15,196.206053777,,,548504155107,231483822,
canneal,icc,mpx,1,None,168879786801,829,159.828133887,,,170532290985,1652504184,
blackscholes,icc,mpx,1,None,421501744538,2,83.582781364,,,422397484721,895740183,
raytrace,icc,mpx,1,None,,,,,,,,
x264,icc,mpx,1,None,,,,,,,,
